"Id","ProductID","Qty","PurchaseCost","SalesCost","MRP","BatchNo","MfgDate","ExpiryDate","Barcode"
"193","137","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10137"
"194","138","48.00","40.49","59.32","70.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10138"
"195","139","36.00","40.49","59.32","70.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10139"
"196","140","48.00","40.49","59.32","70.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10140"
"197","141","0.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10141"
"198","142","12.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10142"
"199","143","0.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10143"
"200","144","0.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10144"
"201","145","2.00","245.82","360.17","425.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10145"
"202","176","0.00","245.82","360.17","425.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10176"
"203","147","14.00","245.82","360.17","425.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10147"
"204","148","14.00","245.82","360.17","425.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10148"
"205","149","4.00","1706.25","2500.00","2950.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10149"
"206","150","0.00","399.09","584.75","690.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10150"
"207","151","2.00","211.11","309.32","365.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10151"
"208","152","5.00","72.30","105.93","125.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10152"
"209","153","4.00","399.09","584.75","690.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10153"
"210","154","0.00","211.11","309.32","365.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10154"
"211","155","2.00","399.09","584.75","690.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10155"
"212","157","2.00","1041.10","1525.42","1800.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10157"
"213","156","1.00","1821.93","2669.49","3150.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10156"
"214","158","0.00","3354.66","4915.25","5800.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10158"
"215","159","1.00","1879.77","2754.24","3250.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10159"
"216","160","2.00","225.57","330.51","390.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10160"
"217","161","0.00","3499.26","5127.12","6050.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10161"
"218","162","0.00","228.46","334.75","395.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10162"
"219","163","72.00","23.14","33.90","40.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10163"
"220","164","44.00","23.14","33.90","40.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10164"
"221","165","0.00","23.14","33.90","40.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10165"
"222","167","0.00","23.14","33.90","40.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10167"
"223","168","0.00","23.14","33.90","40.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10168"
"224","169","0.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10169"
"225","170","0.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10170"
"226","171","0.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10171"
"227","172","6.00","57.84","84.75","100.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10172"
"228","173","10.00","92.54","135.59","160.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10173"
"229","174","12.00","92.54","135.59","160.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10174"
"230","175","12.00","92.54","135.59","160.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10175"
"231","177","0.00","148.00","296.61","350.00","1                                                 ","2024-03-12 00:00:00","2024-03-12 00:00:00","10177"
"232","179","10.00","148.00","296.61","350.00","1                                                 ","2024-03-12 00:00:00","2024-03-12 00:00:00","10179"
"233","180","10.00","148.00","296.61","350.00","1                                                 ","2024-03-12 00:00:00","2024-03-12 00:00:00","10180"
