"Inv_ID","InvoiceNo","InvoiceDate","TaxType","Customer_ID","SalesmanID","SubTotal","CGST","SGST","IGST","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPaid","Balance","Remarks","Time","RewardsClaimed"
"10115","INV-2024-10115                ","2024-06-08 00:00:00","Exclusive           ","10","0","85639.52","7707.57","7707.57","0.00","0.00","3031.65","101054.66","0.34","98023.35","0.00","98023.35","","Saturday, 08 June 2024 11:43:55 PM","0.00"
"10116","INV-2024-10116                ","2024-06-10 00:00:00","Exclusive           ","13","0","8426.73","758.41","758.41","0.00","0.00","0.00","9943.55","0.45","9944.00","9944.00","0.00","","Monday, 10 June 2024 01:55:04 PM","0.00"
"10117","INV-2024-10117                ","2024-06-10 00:00:00","Exclusive           ","23","0","5873.01","528.55","528.55","0.00","0.00","0.00","6930.11","-0.11","6930.00","6930.00","0.00","","Monday, 10 June 2024 08:08:51 PM","0.00"
"10118","INV-2024-10118                ","2024-06-11 00:00:00","Exclusive           ","37","0","11250.00","1012.50","1012.50","0.00","0.00","0.00","13275.00","0.00","13275.00","13275.00","0.00","","Wednesday, 12 June 2024 04:44:41 PM","0.00"
"10119","INV-2024-10119                ","2024-06-13 00:00:00","Exclusive           ","6","0","4891.01","440.17","440.17","0.00","0.00","0.00","5771.35","-0.35","5771.00","5771.00","0.00","","Thursday, 13 June 2024 01:34:47 PM","0.00"
"10120","INV-2024-10120                ","2024-06-18 00:00:00","Exclusive           ","32","0","9547.08","859.23","859.23","0.00","0.00","0.00","11265.54","0.46","11266.00","11266.00","0.00","","Tuesday, 18 June 2024 03:41:28 PM","0.00"
"10121","INV-2024-10121                ","2024-06-18 00:00:00","Exclusive           ","6","0","1328.47","119.56","119.56","0.00","0.00","0.00","1567.59","0.41","1568.00","1568.00","0.00","","Tuesday, 18 June 2024 03:44:56 PM","0.00"
"10122","INV-2024-10122                ","2024-06-18 00:00:00","Exclusive           ","21","0","15084.71","1357.62","1357.62","0.00","0.00","0.00","17799.95","0.05","17800.00","17800.00","0.00","","Tuesday, 18 June 2024 03:47:42 PM","0.00"
"10123","INV-2024-10123                ","2024-06-18 00:00:00","Exclusive           ","27","0","5006.75","450.62","450.62","0.00","0.00","0.00","5907.99","0.01","5908.00","5908.00","0.00","","Tuesday, 18 June 2024 03:52:18 PM","0.00"
"10124","INV-2024-10124                ","2024-06-18 00:00:00","Exclusive           ","31","0","10099.59","908.97","908.97","0.00","0.00","0.00","11917.53","0.47","11918.00","11918.00","0.00","","Tuesday, 18 June 2024 03:56:56 PM","0.00"
"10125","INV-2024-10125                ","2024-06-18 00:00:00","Exclusive           ","2","0","2129.48","191.66","191.66","0.00","0.00","0.00","2512.80","0.20","2513.00","0.00","2513.00","","Tuesday, 18 June 2024 06:23:31 PM","0.00"
